Location,County/Zone,St.,Date,Time,T.Z.,Type,Mag,Dth,Inj,PrD,CrD
MOUNTS,GIBSON CO.,IN,07/09/2024,15:56,CST-6,Tornado,EF2,0,0,350.00K,5.00K
APPLE CANYON LAKE,JO DAVIESS CO.,IL,07/15/2024,17:50,CST-6,Tornado,EF2,0,0,0.00K,0.00K
AUX SABLE,GRUNDY CO.,IL,07/15/2024,20:09,CST-6,Tornado,EF2,0,0,0.00K,0.00K
CHANNAHON,WILL CO.,IL,07/15/2024,20:15,CST-6,Tornado,EF2,0,2,0.00K,0.00K
MATTESON,COOK CO.,IL,07/15/2024,20:38,CST-6,Tornado,EF2,0,0,0.00K,0.00K
PERKINSVILLE,MADISON CO.,IN,07/29/2024,20:42,EST-5,Tornado,EF2,0,0,750.00K,2.50K
EDWARDS CORNERS,ST. JOSEPH CO.,MI,08/06/2024,7:19,EST-5,Tornado,EF2,0,0,0.00K,0.00K
MOUND CITY,CAMPBELL CO.,SD,08/28/2024,18:50,CST-6,Tornado,EF2,0,0,0.00K,0.00K
TRENTON,CLINTON CO.,IL,03/14/2025,21:37,CST-6,Tornado,EF2,0,0,700.00K,0.00K
NEOGA,CUMBERLAND CO.,IL,03/14/2025,23:03,CST-6,Tornado,EF2,0,2,0.00K,0.00K
HAMMOND,PIATT CO.,IL,03/14/2025,23:05,CST-6,Tornado,EF2,0,0,0.00K,0.00K
TRILLA,COLES CO.,IL,03/14/2025,23:08,CST-6,Tornado,EF2,0,0,0.00K,0.00K
MATTHEWS,PERRY CO.,IL,03/14/2025,23:11,CST-6,Tornado,EF2,0,0,1.500M,0.00K
ROLLA DOWNTOWN ARPT,PHELPS CO.,MO,3/14/2025,18:50,CST-6,Tornado,EF2,0,1,2.500M,0.00K
DAWT,OZARK CO.,MO,3/14/2025,19:40,CST-6,Tornado,EF3,3,4,2.000M,0.00K
LEOTA,HOWELL CO.,MO,3/14/2025,19:44,CST-6,Tornado,EF3,0,0,5.000M,0.00K
VILLA RIDGE,FRANKLIN CO.,MO,3/14/2025,19:52,CST-6,Tornado,EF2,0,0,1.500M,0.00K
ROVER,OREGON CO.,MO,3/14/2025,20:11,CST-6,Tornado,EF3,0,0,400.00K,0.00K
CLARKSON VLY,ST. LOUIS CO.,MO,3/14/2025,20:16,CST-6,Tornado,EF2,0,0,1.200M,0.00K
MORSE MILL,JEFFERSON CO.,MO,3/14/2025,20:18,CST-6,Tornado,EF2,0,0,825.00K,0.00K
KOSHKONONG,OREGON CO.,MO,3/14/2025,20:36,CST-6,Tornado,EF3,0,0,800.00K,0.00K
WEST ALTON,ST. CHARLES CO.,MO,3/14/2025,20:43,CST-6,Tornado,EF2,0,0,222.00K,0.00K
LOW WASSIE,SHANNON CO.,MO,3/14/2025,20:46,CST-6,Tornado,EF3,0,0,100.00K,0.00K
FREMONT,CARTER CO.,MO,3/14/2025,20:51,CST-6,Tornado,EF3,0,0,2.000M,0.00K
HADLEY,REYNOLDS CO.,MO,3/14/2025,21:20,CST-6,Tornado,EF2,0,0,250.00K,0.00K
GADS HILL,WAYNE CO.,MO,3/14/2025,21:34,CST-6,Tornado,EF3,3,0,4.000M,0.00K
DES ARC,IRON CO.,MO,3/14/2025,21:41,CST-6,Tornado,EF3,0,2,800.00K,0.00K
LEEPER,WAYNE CO.,MO,3/14/2025,21:47,CST-6,Tornado,EF3,2,0,3.000M,0.00K
POYNOR,RIPLEY CO.,MO,3/14/2025,21:56,CST-6,Tornado,EF2,0,1,1.400M,0.00K
BURBANK,WAYNE CO.,MO,3/14/2025,22:15,CST-6,Tornado,EF2,1,1,1.500M,0.00K
PARKS,BUTLER CO.,MO,3/14/2025,22:18,CST-6,Tornado,EF2,0,0,1.400M,0.00K
SITZKE STORE,BOLLINGER CO.,MO,3/14/2025,22:24,CST-6,Tornado,EF3,0,0,3.000M,0.00K
STRINGTOWN,BUTLER CO.,MO,3/14/2025,22:27,CST-6,Tornado,EF3,1,0,15.000M,0.00K
MILLHEIM,PERRY CO.,MO,3/14/2025,22:31,CST-6,Tornado,EF2,0,0,5.000M,0.00K
HEAGY,STODDARD CO.,MO,3/14/2025,23:17,CST-6,Tornado,EF2,0,0,75.00K,0.00K
VANDUSER,SCOTT CO.,MO,3/14/2025,23:18,CST-6,Tornado,EF2,0,0,1.000M,0.00K
BOLES,JOHNSON CO.,IL,03/15/2025,0:15,CST-6,Tornado,EF2,0,0,1.000M,0.00K
HAUBSTADT,GIBSON CO.,IN,03/15/2025,1:53,CST-6,Tornado,EF2,0,0,2.000M,0.00K
DONGOLA,PIKE CO.,IN,03/15/2025,2:08,EST-5,Tornado,EF2,0,0,1.500M,0.00K
BRAGG CITY,PEMISCOT CO.,MO,3/15/2025,0:13,CST-6,Tornado,EF2,0,0,200.00K,0.00K
COLUMBUS ARPT,BARTHOLOMEW CO.,IN,03/19/2025,19:44,EST-5,Tornado,EF2,0,0,1.600M,0.00K
BADEN BADEN,BOND CO.,IL,04/02/2025,16:05,CST-6,Tornado,EF2,0,1,385.00K,0.00K
JEWETT,CUMBERLAND CO.,IL,04/02/2025,17:33,CST-6,Tornado,EF2,0,0,0.00K,0.00K
OILFIELD,CLARK CO.,IL,04/02/2025,17:48,CST-6,Tornado,EF2,0,0,0.00K,0.00K
BELL RIDGE,EDGAR CO.,IL,04/02/2025,18:02,CST-6,Tornado,EF2,0,0,0.00K,0.00K
BROWNSBURG ARPT,HENDRICKS CO.,IN,04/02/2025,20:05,EST-5,Tornado,EF2,0,1,1.200M,0.00K
LAPEL,MADISON CO.,IN,04/02/2025,20:43,EST-5,Tornado,EF2,0,0,200.00K,0.00K
MOONSVILLE,MADISON CO.,IN,04/02/2025,20:57,EST-5,Tornado,EF2,0,0,3.160M,0.00K
SHORTS CORNER,WASHINGTON CO.,IN,04/02/2025,22:20,EST-5,Tornado,EF2,0,0,0.00K,0.00K
MOUNDVILLE,VERNON CO.,MO,4/2/2025,6:29,CST-6,Tornado,EF2,0,0,500.00K,0.00K
PILOT GROVE,COOPER CO.,MO,4/2/2025,7:34,CST-6,Tornado,EF2,0,0,100.00K,0.00K
BRAZIL,WASHINGTON CO.,MO,4/2/2025,14:14,CST-6,Tornado,EF3,0,0,685.00K,0.00K
MANDALE,PAULDING CO.,OH,04/02/2025,22:18,EST-5,Tornado,EF2,0,0,0.00K,0.00K
MANDALE,PUTNAM CO.,OH,04/02/2025,22:19,EST-5,Tornado,EF2,0,2,500.00K,0.00K
FLIGHTLAND ARPT,DOUGLAS CO.,NE,04/17/2025,17:55,CST-6,Tornado,EF3,0,0,0.00K,0.00K
NASHVILLE,WASHINGTON CO.,NE,04/17/2025,18:04,CST-6,Tornado,EF2,0,0,0.00K,0.00K
GUTHRIE,CALLAWAY CO.,MO,4/20/2025,12:31,CST-6,Tornado,EF2,0,1,125.00K,0.00K
OSHKOSH,GARDEN CO.,NE,04/27/2025,16:56,MST-7,Tornado,EF2,0,0,750.00K,0.00K
MERRITT RES,CHERRY CO.,NE,04/27/2025,21:27,CST-6,Tornado,EF2,0,0,0.00K,0.00K
MERRITT RES,CHERRY CO.,NE,04/27/2025,21:27,CST-6,Tornado,EF2,0,0,0.00K,0.00K
SHOBONIER,FAYETTE CO.,IL,04/30/2025,17:48,CST-6,Tornado,EF2,0,0,50.00K,0.00K
WOLF CREEK,WILLIAMSON CO.,IL,05/16/2025,17:15,CST-6,Tornado,EF4,0,7,25.000M,0.00K
KEDRON,GALLATIN CO.,IL,05/16/2025,17:57,CST-6,Tornado,EF2,0,0,35.00K,0.00K
WHITE ROSE,GREENE CO.,IN,05/16/2025,17:44,EST-5,Tornado,EF2,1,3,1.050M,0.00K
ELWREN,MONROE CO.,IN,05/16/2025,18:27,EST-5,Tornado,EF2,0,0,1.200M,0.00K
CLAYTON,ST. LOUIS CO.,MO,5/16/2025,13:39,CST-6,Tornado,EF2,0,0,0.00K,0.00K
DES ARC,IRON CO.,MO,5/16/2025,13:53,CST-6,Tornado,EF2,0,0,0.00K,0.00K
SHADY DELL,STODDARD CO.,MO,5/16/2025,14:54,CST-6,Tornado,EF2,0,0,150.00K,0.00K
CROWDER,SCOTT CO.,MO,5/16/2025,14:58,CST-6,Tornado,EF3,2,10,15.000M,0.00K
BURFORDVILLE,CAPE GIRARDEAU CO.,MO,5/16/2025,15:03,CST-6,Tornado,EF2,0,0,175.00K,0.00K
STRATTON,HITCHCOCK CO.,NE,05/18/2025,17:49,CST-6,Tornado,EF3,0,0,575.00K,0.00K
HAYES CENTER,HAYES CO.,NE,05/18/2025,18:35,CST-6,Tornado,EF2,0,0,1.500M,0.00K
DICKENS,LINCOLN CO.,NE,06/16/2025,18:20,CST-6,Tornado,EF2,0,0,140.00K,0.00K
JACKSONVILLE ARPT,MORGAN CO.,IL,06/18/2025,11:07,CST-6,Tornado,EF2,0,0,0.00K,0.00K
NEW SALEM,MORTON CO.,ND,06/20/2025,19:48,CST-6,Tornado,EF2,0,0,1.500M,0.00K
URBANA,BARNES CO.,ND,06/20/2025,19:53,CST-6,Tornado,EF3,0,0,0.00K,0.00K
FT RANSOM,RANSOM CO.,ND,06/20/2025,21:20,CST-6,Tornado,EF2,0,0,0.00K,0.00K
BEREA,BARNES CO.,ND,06/20/2025,21:29,CST-6,Tornado,EF2,0,0,0.00K,0.00K
ENDERLIN ARPT,RANSOM CO.,ND,06/20/2025,22:04,CST-6,Tornado,EF5,0,0,0.00K,0.00K
ELIZABETH,CASS CO.,ND,06/20/2025,22:11,CST-6,Tornado,EF4,3,0,0.00K,0.00K
